latitude,longitude,bright_ti4,scan,track,type
-2.83403,122.15356,329.5,0.42,0.45,0
-1.37815,121.73199,332.7,0.41,0.45,0
-2.58949,120.79065,335.6,0.52,0.42,0
-2.74445,120.41971,329.9,0.49,0.41,0
-2.18989,119.17869,325.5,0.44,0.38,0
-2.15285,121.36253,331.9,0.57,0.43,0
-2.15469,121.36074,337,0.57,0.43,0
-2.1536,121.35757,331.9,0.57,0.43,0
0.50817,121.35869,340.3,0.41,0.45,0
-1.10817,121.44161,335.4,0.4,0.44,0
0.92744,123.25289,330.8,0.56,0.51,3
0.59153,117.22923,340.9,0.4,0.37,0
0.60878,117.2522,326.1,0.4,0.37,0
0.92697,123.24926,340.9,0.56,0.52,3
3.79164,117.74671,332.9,0.43,0.38,0
1.49855,127.63155,296.9,0.5,0.41,1
-1.53172,127.42265,310.8,0.48,0.4,0
-1.81649,136.75731,321.2,0.45,0.47,2
-1.82085,136.75687,318.5,0.45,0.47,3
-8.19771,119.07119,317.6,0.43,0.62,1
-8.19948,119.08058,312.4,0.43,0.62,1
-8.19826,119.07957,313.2,0.43,0.62,1
-8.19568,119.06044,300.8,0.43,0.62,1
-8.19687,119.06674,367,0.43,0.62,1
-8.1955,119.06445,336.1,0.43,0.62,1
-8.19647,119.06982,367,0.43,0.62,1
-3.75945,103.8262,301.6,0.39,0.36,2
-3.7561,103.82672,295,0.39,0.36,2
-8.11836,112.92899,306.8,0.36,0.57,1
-8.11336,112.93179,321.9,0.36,0.57,1
-2.58148,121.37791,339.9,0.38,0.36,2
-2.83087,122.16139,327.7,0.39,0.36,0
-3.91394,122.12769,334.4,0.39,0.36,0
-2.83526,122.1549,335.5,0.39,0.36,0
-2.8342,122.16187,329.4,0.39,0.36,0
-2.57113,121.3797,327.2,0.38,0.36,2
-2.57776,121.38068,346.5,0.38,0.36,2
-2.57828,121.37724,334.8,0.38,0.36,2
-2.62106,119.06088,339.1,0.43,0.38,0
-2.82753,122.16088,328.5,0.39,0.36,0
-1.63621,120.61182,343,0.39,0.36,0
-1.6308,120.62514,329.2,0.39,0.36,0
-1.43142,120.94021,336.5,0.38,0.36,0
-1.63465,120.62218,342.3,0.39,0.36,0
-0.95432,120.43031,346.8,0.39,0.36,3
-1.63132,120.62169,346,0.39,0.36,0
0.87213,123.4076,332.2,0.44,0.39,0
0.97686,122.22158,333.7,0.4,0.37,0
-1.44846,122.32299,333.8,0.39,0.37,0
-1.22444,122.92628,331.5,0.41,0.37,0
-1.22102,122.9258,331.8,0.41,0.37,0
1.02953,121.61774,339.9,0.39,0.36,0
3.55061,116.69543,345.2,0.47,0.4,0
3.54994,116.69115,333.9,0.47,0.4,0
-1.30255,102.6894,327.1,0.52,0.5,0
-0.84775,133.18835,300.2,0.44,0.38,0
-1.81918,136.75864,330.6,0.4,0.37,3
-1.81862,136.75507,335.8,0.4,0.37,3
-3.21176,140.87326,303.4,0.43,0.46,2
-1.52981,127.42484,297.1,0.63,0.54,0
-2.5787,121.37612,329,0.78,0.78,2
-2.43896,133.14139,341.9,0.42,0.38,3
-2.58125,121.37428,367,0.53,0.67,2
-2.57578,121.38018,322,0.53,0.67,2
-2.58204,121.37954,351.1,0.53,0.67,2
-0.96575,110.09117,301.9,0.38,0.36,0
-8.34341,115.50898,327.5,0.51,0.49,3
-8.20169,119.0752,307.9,0.44,0.63,1
-8.34272,115.50409,300.5,0.51,0.49,3
-8.19559,119.07375,300.7,0.44,0.63,1
-7.34384,140.43561,325.3,0.59,0.7,0
-8.51758,140.93356,331.4,0.57,0.69,0
-8.51771,140.93661,326,0.57,0.69,0
-3.93379,138.58823,332.2,0.71,0.75,0
-3.47101,140.79399,326.3,0.49,0.65,0
-3.47033,140.79861,352.3,0.49,0.65,0
-3.4708,140.80017,326.6,0.49,0.65,0
-3.58851,140.8947,340.9,0.49,0.65,0
-3.47146,140.79552,340.9,0.49,0.65,0
-3.46474,140.79939,342.2,0.49,0.65,0
-3.46426,140.7979,336.3,0.49,0.65,0
-3.95788,138.95819,347.1,0.62,0.71,0
-1.33469,133.68454,338.1,0.6,0.53,0
-3.23395,127.67857,343,0.4,0.37,0
-1.32974,133.68417,327.8,0.6,0.53,0
-1.3318,133.6869,331.9,0.6,0.53,0
-2.67043,121.40798,325.3,0.57,0.43,0
-3.18086,130.55336,339.5,0.53,0.42,0
-1.82002,136.75995,328.1,0.47,0.64,3
-1.82074,136.75558,336.8,0.47,0.64,3
-1.36907,133.75195,339.1,0.6,0.53,0
-1.33256,133.68196,327.5,0.6,0.53,0
